"","wave","countryOfBirth","Leave","Stay","stay_leave_ratio"
"77",9,"Republic of Ireland",16.7850667627013,21.6705301006611,1.29106010759611
"78",9,"Scotland",419.931614098831,622.880524191762,1.4832903817648
"79",9,"Wales",225.092886714173,265.312400302195,1.17867962944157
"80",9,NA,4467.93701743184,4757.44316923246,1.0647963815674
"81",10,"England",4617.71135631753,4311.31670214253,0.933647941473038
"82",10,"Northern Ireland",27.352314564186,33.6355003745981,1.22971313069933
"83",10,"Other: Commonwealth member country",87.8957701682155,96.9349730880418,1.10284002179544
"84",10,"Other: European Union member country",43.7370160736638,118.981647046105,2.72038784826361
"85",10,"Other: Rest of world",74.5194563357093,136.705408253371,1.83449282879246
"86",10,"Prefer not to answer",32.2899111611036,34.6024187359504,1.07161703119309
"87",10,"Republic of Ireland",24.4618332034919,22.0167868408391,0.900046478842649
