"","id","num_wave_voted","num_switch","switch_ratio","ifswitch"
"42842",57910,4,0,0,0
"42843",57912,4,0,0,0
"42844",57913,3,0,0,0
"42845",57914,3,2,0.666666666666667,1
"42846",57917,4,0,0,0
"42847",57918,3,1,0.333333333333333,1
"42848",57920,4,0,0,0
"42849",57923,4,0,0,0
"42850",57924,2,0,0,0
"42851",57925,4,0,0,0
"42852",57926,2,0,0,0
"42853",57927,4,0,0,0
"42854",57928,2,0,0,0
"42855",57929,2,0,0,0
"42856",57930,2,0,0,0
"42857",57932,4,0,0,0
"42858",57933,3,0,0,0
"42859",57934,4,0,0,0
"42860",57935,4,0,0,0
"42861",57936,4,0,0,0
"42862",57937,3,0,0,0
"42863",57938,4,0,0,0
"42864",57939,4,0,0,0
"42865",57940,4,0,0,0
"42866",57941,2,0,0,0
"42867",57942,2,0,0,0
"42868",57944,4,0,0,0
"42869",57947,1,0,0,0
"42870",57948,2,0,0,0
"42871",57952,4,0,0,0
"42872",57955,1,0,0,0
"42873",57957,1,0,0,0
"42874",57958,4,0,0,0
"42875",57959,3,0,0,0
"42876",57960,4,0,0,0
"42877",57962,2,1,0.5,1
"42878",57963,2,0,0,0
"42879",57964,3,2,0.666666666666667,1
"42880",57965,3,0,0,0
"42881",57966,4,0,0,0
"42882",57968,4,3,0.75,1
"42883",57969,4,0,0,0
"42884",57971,4,0,0,0
"42885",57972,4,0,0,0
"42886",57973,4,1,0.25,1
"42887",57975,4,2,0.5,1
"42888",57976,4,0,0,0
"42889",57978,1,0,0,0
"42890",57979,4,2,0.5,1
"42891",57980,1,0,0,0
"42892",57981,3,0,0,0
"42893",57982,3,0,0,0
"42894",57983,4,0,0,0
"42895",57984,4,0,0,0
"42896",57985,4,0,0,0
"42897",57986,4,0,0,0
"42898",57988,1,0,0,0
"42899",57989,4,0,0,0
"42900",57991,3,1,0.333333333333333,1
"42901",57992,1,0,0,0
"42902",57993,1,0,0,0
"42903",57994,1,0,0,0
"42904",57995,1,0,0,0
"42905",57996,1,0,0,0
"42906",57997,2,0,0,0
"42907",57998,3,0,0,0
"42908",57999,2,0,0,0
"42909",58000,4,0,0,0
"42910",58002,3,0,0,0
"42911",58004,2,1,0.5,1
