"id","num_wave_voted","num_bi_switch","bi_switch_ratio","bi_ifswitch"
533,10,0,0,0
534,12,0,0,0
535,1,0,0,0
536,12,0,0,0
537,1,0,0,0
538,2,0,0,0
539,4,0,0,0
540,11,0,0,0
541,4,0,0,0
542,2,0,0,0
543,8,1,0.142857142857143,1
544,9,0,0,0
545,6,0,0,0
546,6,0,0,0
547,2,0,0,0
548,10,2,0.222222222222222,1
549,5,0,0,0
550,9,0,0,0
551,2,1,1,1
552,7,2,0.333333333333333,1
553,12,0,0,0
554,2,0,0,0
555,8,0,0,0
556,10,0,0,0
557,9,0,0,0
558,2,0,0,0
559,11,0,0,0
560,11,1,0.1,1
561,1,0,0,0
562,7,0,0,0
563,5,0,0,0
564,7,0,0,0
565,3,0,0,0
566,11,0,0,0
567,11,0,0,0
568,5,0,0,0
569,11,0,0,0
570,11,0,0,0
571,6,0,0,0
572,9,1,0.125,1
573,7,0,0,0
574,2,0,0,0
575,10,1,0.111111111111111,1
576,10,0,0,0
577,3,0,0,0
578,11,0,0,0
579,11,0,0,0
580,9,0,0,0
581,2,0,0,0
582,9,3,0.375,1
583,6,0,0,0
584,11,0,0,0
585,11,0,0,0
586,1,0,0,0
587,4,0,0,0
588,9,0,0,0
589,2,0,0,0
590,7,0,0,0
591,7,0,0,0
592,4,0,0,0
593,11,0,0,0
594,12,0,0,0
595,12,0,0,0
596,12,0,0,0
597,2,0,0,0
598,7,1,0.166666666666667,1
599,12,0,0,0
600,8,0,0,0
601,10,0,0,0
602,12,0,0,0
603,4,0,0,0
604,10,1,0.111111111111111,1
605,5,0,0,0
606,9,4,0.5,1
607,11,0,0,0
608,11,3,0.3,1
609,5,0,0,0
610,8,0,0,0
611,10,0,0,0
612,8,0,0,0
613,12,0,0,0
614,2,0,0,0
615,11,0,0,0
616,11,0,0,0
617,10,0,0,0
618,2,1,1,1
619,5,0,0,0
620,2,0,0,0
621,11,0,0,0
622,10,0,0,0
623,7,0,0,0
624,8,0,0,0
625,10,0,0,0
626,6,0,0,0
627,11,0,0,0
628,5,0,0,0
629,7,3,0.5,1
630,7,1,0.166666666666667,1
631,9,2,0.25,1
632,5,0,0,0
633,5,0,0,0
634,11,0,0,0
635,6,0,0,0
636,10,1,0.111111111111111,1
637,7,0,0,0
638,8,0,0,0
639,5,0,0,0
640,12,0,0,0
641,10,0,0,0
642,6,0,0,0
643,11,0,0,0
644,12,0,0,0
645,5,0,0,0
646,9,0,0,0
647,3,0,0,0
648,12,0,0,0
649,8,0,0,0
650,12,0,0,0
651,2,0,0,0
652,12,0,0,0
653,3,0,0,0
654,11,0,0,0
655,5,0,0,0
656,10,0,0,0
657,12,3,0.272727272727273,1
658,1,0,0,0
659,12,0,0,0
660,11,0,0,0
661,10,0,0,0
662,2,0,0,0
663,6,0,0,0
664,10,0,0,0
665,8,0,0,0
666,9,0,0,0
667,12,0,0,0
668,12,0,0,0
669,7,0,0,0
670,7,2,0.333333333333333,1
671,7,0,0,0
672,8,0,0,0
673,3,0,0,0
674,10,2,0.222222222222222,1
675,6,0,0,0
676,10,0,0,0
677,1,0,0,0
678,5,0,0,0
679,9,0,0,0
680,12,0,0,0
681,5,3,0.75,1
682,12,1,0.0909090909090909,1
683,8,0,0,0
684,4,0,0,0
685,12,0,0,0
686,8,0,0,0
687,11,0,0,0
688,12,0,0,0
689,11,0,0,0
690,12,0,0,0
691,2,0,0,0
692,7,0,0,0
693,10,0,0,0
694,12,0,0,0
695,4,0,0,0
696,12,0,0,0
697,12,0,0,0
698,6,0,0,0
699,6,0,0,0
700,11,1,0.1,1
701,2,0,0,0
702,9,0,0,0
703,9,0,0,0
704,9,0,0,0
705,9,0,0,0
706,11,0,0,0
707,11,0,0,0
708,11,1,0.1,1
709,10,1,0.111111111111111,1
710,12,1,0.0909090909090909,1
711,11,0,0,0
712,3,0,0,0
713,11,0,0,0
714,7,1,0.166666666666667,1
715,2,0,0,0
716,10,1,0.111111111111111,1
717,12,0,0,0
718,5,0,0,0
719,9,4,0.5,1
720,12,1,0.0909090909090909,1
721,9,0,0,0
722,12,0,0,0
723,2,0,0,0
724,12,0,0,0
725,6,0,0,0
726,9,0,0,0
727,11,1,0.1,1
728,2,0,0,0
729,2,0,0,0
730,10,0,0,0
731,8,0,0,0
732,11,0,0,0
733,12,2,0.181818181818182,1
734,9,5,0.625,1
735,5,0,0,0
736,12,1,0.0909090909090909,1
737,5,0,0,0
738,10,0,0,0
739,11,0,0,0
740,2,0,0,0
741,8,2,0.285714285714286,1
742,10,0,0,0
743,12,1,0.0909090909090909,1
744,11,0,0,0
745,9,0,0,0
746,4,0,0,0
747,7,0,0,0
748,2,0,0,0
749,8,0,0,0
750,12,0,0,0
751,12,0,0,0
752,12,0,0,0
753,6,0,0,0
754,5,0,0,0
755,7,0,0,0
756,10,0,0,0
757,7,0,0,0
758,12,0,0,0
759,12,0,0,0
760,2,0,0,0
761,10,1,0.111111111111111,1
762,1,0,0,0
763,12,4,0.363636363636364,1
764,11,2,0.2,1
765,10,0,0,0
766,8,1,0.142857142857143,1
767,10,3,0.333333333333333,1
768,12,0,0,0
769,12,0,0,0
770,12,0,0,0
771,9,0,0,0
772,12,0,0,0
773,10,2,0.222222222222222,1
774,12,0,0,0
775,8,1,0.142857142857143,1
776,12,1,0.0909090909090909,1
777,11,1,0.1,1
778,10,0,0,0
779,11,0,0,0
780,12,0,0,0
781,9,2,0.25,1
782,2,0,0,0
783,11,0,0,0
784,12,0,0,0
785,11,1,0.1,1
786,5,0,0,0
787,12,0,0,0
788,10,0,0,0
789,12,0,0,0
790,11,0,0,0
791,3,0,0,0
792,12,1,0.0909090909090909,1
793,8,0,0,0
794,12,0,0,0
795,10,0,0,0
796,11,0,0,0
797,5,0,0,0
798,10,0,0,0
799,11,0,0,0
800,11,0,0,0
801,4,1,0.333333333333333,1
802,11,0,0,0
803,6,0,0,0
804,11,0,0,0
805,10,0,0,0
806,5,1,0.25,1
807,2,0,0,0
808,3,0,0,0
809,5,0,0,0
810,12,0,0,0
811,5,0,0,0
812,11,0,0,0
813,8,0,0,0
814,11,1,0.1,1
815,7,0,0,0
816,12,0,0,0
817,1,0,0,0
818,6,0,0,0
819,5,0,0,0
820,11,1,0.1,1
821,12,0,0,0
822,6,2,0.4,1
823,2,0,0,0
824,9,0,0,0
825,9,0,0,0
826,1,0,0,0
827,12,2,0.181818181818182,1
828,7,1,0.166666666666667,1
829,11,0,0,0
830,2,0,0,0
831,12,0,0,0
832,6,0,0,0
833,9,0,0,0
834,5,1,0.25,1
835,11,0,0,0
836,11,0,0,0
837,3,0,0,0
838,10,0,0,0
839,11,0,0,0
840,2,0,0,0
841,8,0,0,0
842,5,0,0,0
843,5,0,0,0
844,5,0,0,0
845,10,0,0,0
846,1,0,0,0
847,12,0,0,0
848,10,0,0,0
849,12,0,0,0
850,5,0,0,0
851,2,0,0,0
852,11,0,0,0
853,12,0,0,0
854,11,1,0.1,1
855,7,0,0,0
856,8,0,0,0
857,11,0,0,0
858,12,0,0,0
859,12,0,0,0
860,5,0,0,0
861,12,0,0,0
862,7,1,0.166666666666667,1
863,10,0,0,0
864,11,0,0,0
865,3,0,0,0
866,7,1,0.166666666666667,1
867,9,0,0,0
868,9,0,0,0
869,3,0,0,0
870,4,0,0,0
871,12,0,0,0
872,1,0,0,0
873,5,0,0,0
874,10,0,0,0
875,1,0,0,0
876,9,0,0,0
877,10,0,0,0
878,6,1,0.2,1
879,10,0,0,0
880,4,0,0,0
881,12,1,0.0909090909090909,1
882,3,0,0,0
883,12,0,0,0
884,8,0,0,0
885,10,2,0.222222222222222,1
886,3,0,0,0
887,10,0,0,0
888,12,0,0,0
889,9,0,0,0
890,6,0,0,0
891,12,0,0,0
892,8,0,0,0
893,10,0,0,0
894,11,1,0.1,1
895,7,0,0,0
896,8,0,0,0
897,11,0,0,0
898,4,0,0,0
899,9,4,0.5,1
900,6,1,0.2,1
901,4,0,0,0
902,5,0,0,0
903,3,0,0,0
904,12,0,0,0
905,7,0,0,0
906,9,0,0,0
907,12,0,0,0
908,12,0,0,0
909,4,0,0,0
910,2,0,0,0
911,9,0,0,0
912,11,0,0,0
913,10,2,0.222222222222222,1
914,12,0,0,0
915,5,0,0,0
916,6,0,0,0
917,7,0,0,0
918,11,0,0,0
919,8,0,0,0
920,11,0,0,0
921,9,0,0,0
922,12,0,0,0
923,5,0,0,0
924,12,0,0,0
925,12,0,0,0
926,12,0,0,0
927,4,0,0,0
928,5,0,0,0
929,9,2,0.25,1
930,9,0,0,0
931,12,3,0.272727272727273,1
932,12,2,0.181818181818182,1
933,9,0,0,0
934,11,0,0,0
935,11,2,0.2,1
936,2,0,0,0
937,12,0,0,0
938,1,0,0,0
939,2,0,0,0
940,11,0,0,0
941,12,5,0.454545454545455,1
942,11,0,0,0
943,2,0,0,0
944,11,0,0,0
945,8,0,0,0
946,12,0,0,0
947,2,0,0,0
948,12,1,0.0909090909090909,1
949,11,0,0,0
950,11,2,0.2,1
951,7,0,0,0
952,5,0,0,0
953,11,0,0,0
954,5,0,0,0
955,9,4,0.5,1
956,12,0,0,0
957,1,0,0,0
958,8,0,0,0
959,5,0,0,0
960,7,1,0.166666666666667,1
961,10,2,0.222222222222222,1
962,9,1,0.125,1
963,10,0,0,0
964,12,0,0,0
965,5,0,0,0
966,9,1,0.125,1
967,12,0,0,0
968,12,0,0,0
969,3,0,0,0
970,5,0,0,0
971,12,0,0,0
972,6,2,0.4,1
973,12,0,0,0
974,8,0,0,0
975,7,0,0,0
976,12,0,0,0
977,12,2,0.181818181818182,1
978,7,1,0.166666666666667,1
979,3,0,0,0
980,2,0,0,0
981,8,0,0,0
982,11,0,0,0
983,11,0,0,0
984,6,1,0.2,1
985,2,0,0,0
986,11,3,0.3,1
987,4,0,0,0
988,7,0,0,0
989,11,0,0,0
990,12,0,0,0
991,5,0,0,0
992,4,2,0.666666666666667,1
993,10,0,0,0
994,7,1,0.166666666666667,1
995,9,0,0,0
996,6,0,0,0
997,12,1,0.0909090909090909,1
998,5,1,0.25,1
999,12,0,0,0
1000,7,0,0,0
1001,5,0,0,0
1002,11,0,0,0
1003,3,0,0,0
1004,1,0,0,0
1005,12,0,0,0
1006,12,2,0.181818181818182,1
1007,10,0,0,0
1008,11,0,0,0
1009,1,0,0,0
1010,5,0,0,0
1011,10,0,0,0
1012,10,0,0,0
1013,12,0,0,0
1014,2,0,0,0
1015,12,0,0,0
1016,11,0,0,0
1017,5,0,0,0
1018,11,0,0,0
1019,5,3,0.75,1
1020,5,2,0.5,1
1021,12,5,0.454545454545455,1
1022,9,0,0,0
1023,2,0,0,0
1024,2,0,0,0
1025,11,1,0.1,1
1026,5,0,0,0
1027,7,0,0,0
1028,11,0,0,0
1029,8,0,0,0
1030,10,2,0.222222222222222,1
1031,12,0,0,0
1032,5,0,0,0
1033,2,0,0,0
1034,12,2,0.181818181818182,1
1035,11,0,0,0
1036,1,0,0,0
1037,1,0,0,0
1038,12,0,0,0
1039,11,0,0,0
1040,11,0,0,0
1041,5,0,0,0
1042,8,1,0.142857142857143,1
1043,7,0,0,0
1044,10,0,0,0
1045,2,0,0,0
1046,2,0,0,0
1047,11,0,0,0
1048,11,4,0.4,1
1049,7,0,0,0
1050,5,0,0,0
1051,2,0,0,0
1052,5,0,0,0
1053,12,0,0,0
1054,7,0,0,0
1055,5,1,0.25,1
1056,8,0,0,0
1057,11,1,0.1,1
1058,3,1,0.5,1
1059,10,2,0.222222222222222,1
1060,2,0,0,0
1061,9,1,0.125,1
