"","id","num_wave_present","num_switch","switch_ratio","ifswitch"
"38556",39417,1,0,0,0
"38557",39418,7,4,0.571428571428571,1
"38558",39419,9,0,0,0
"38559",39420,3,0,0,0
"38560",39421,3,0,0,0
"38561",39422,10,1,0.1,1
"38562",39423,3,0,0,0
"38563",39424,3,0,0,0
"38564",39425,6,1,0.166666666666667,1
"38565",39426,7,3,0.428571428571429,1
"38566",39427,2,1,0.5,1
"38567",39428,9,0,0,0
"38568",39429,2,1,0.5,1
"38569",39430,10,0,0,0
"38570",39431,6,1,0.166666666666667,1
"38571",39432,8,0,0,0
"38572",39433,2,1,0.5,1
"38573",39434,2,0,0,0
"38574",39435,4,1,0.25,1
"38575",39436,2,0,0,0
"38576",39437,3,1,0.333333333333333,1
"38577",39438,8,0,0,0
"38578",39439,3,1,0.333333333333333,1
"38579",39440,3,1,0.333333333333333,1
"38580",39441,2,0,0,0
"38581",39442,3,0,0,0
"38582",39443,10,0,0,0
"38583",39444,3,0,0,0
"38584",39445,3,1,0.333333333333333,1
"38585",39446,9,0,0,0
"38586",39447,3,1,0.333333333333333,1
"38587",39448,9,1,0.111111111111111,1
"38588",39449,8,3,0.375,1
"38589",39450,1,0,0,0
"38590",39451,3,0,0,0
"38591",39452,3,0,0,0
"38592",39453,9,2,0.222222222222222,1
"38593",39454,4,0,0,0
"38594",39455,1,0,0,0
"38595",39456,1,0,0,0
"38596",39457,4,0,0,0
"38597",39458,4,0,0,0
"38598",39459,2,1,0.5,1
"38599",39460,8,2,0.25,1
"38600",39461,6,2,0.333333333333333,1
"38601",39462,1,0,0,0
"38602",39463,7,0,0,0
"38603",39464,3,1,0.333333333333333,1
"38604",39465,10,0,0,0
"38605",39466,3,0,0,0
"38606",39467,6,0,0,0
"38607",39468,5,1,0.2,1
"38608",39469,10,1,0.1,1
"38609",39470,2,1,0.5,1
"38610",39471,8,1,0.125,1
"38611",39472,7,0,0,0
"38612",39473,10,3,0.3,1
