"","id","num_wave_voted","num_switch","switch_ratio","ifswitch"
"42152",57105,4,0,0,0
"42153",57107,4,0,0,0
"42154",57108,5,0,0,0
"42155",57109,3,0,0,0
"42156",57110,6,2,0.333333333333333,1
"42157",57111,3,0,0,0
"42158",57113,5,0,0,0
"42159",57114,3,0,0,0
"42160",57115,2,0,0,0
"42161",57116,3,0,0,0
"42162",57120,2,0,0,0
"42163",57123,3,0,0,0
"42164",57125,5,0,0,0
"42165",57126,4,0,0,0
"42166",57128,6,3,0.5,1
"42167",57129,2,0,0,0
"42168",57130,6,0,0,0
"42169",57131,5,0,0,0
"42170",57132,5,0,0,0
"42171",57133,5,0,0,0
"42172",57134,5,0,0,0
"42173",57137,3,0,0,0
"42174",57138,6,0,0,0
"42175",57139,4,1,0.25,1
"42176",57140,6,0,0,0
"42177",57141,4,0,0,0
"42178",57142,6,0,0,0
"42179",57144,5,0,0,0
"42180",57145,2,0,0,0
"42181",57146,2,0,0,0
"42182",57147,4,0,0,0
"42183",57148,6,0,0,0
"42184",57149,5,0,0,0
"42185",57150,3,0,0,0
"42186",57151,3,0,0,0
"42187",57152,3,1,0.333333333333333,1
"42188",57154,1,0,0,0
"42189",57155,1,0,0,0
"42190",57156,6,0,0,0
"42191",57159,6,0,0,0
"42192",57160,1,0,0,0
"42193",57162,4,0,0,0
"42194",57163,5,0,0,0
"42195",57164,2,0,0,0
"42196",57165,6,0,0,0
"42197",57166,6,0,0,0
"42198",57167,6,2,0.333333333333333,1
"42199",57170,6,0,0,0
"42200",57171,6,0,0,0
"42201",57172,4,1,0.25,1
"42202",57174,2,0,0,0
"42203",57176,2,0,0,0
"42204",57177,2,0,0,0
"42205",57178,5,0,0,0
"42206",57179,3,0,0,0
"42207",57180,4,0,0,0
"42208",57182,5,2,0.4,1
"42209",57183,5,1,0.2,1
"42210",57185,4,0,0,0
"42211",57187,1,0,0,0
"42212",57188,2,0,0,0
"42213",57189,6,0,0,0
"42214",57190,5,1,0.2,1
"42215",57192,6,0,0,0
"42216",57197,3,0,0,0
"42217",57198,4,0,0,0
"42218",57199,6,2,0.333333333333333,1
"42219",57201,4,0,0,0
"42220",57202,6,0,0,0
"42221",57203,5,0,0,0
"42222",57204,6,0,0,0
"42223",57205,2,1,0.5,1
"42224",57206,5,0,0,0
"42225",57207,2,0,0,0
"42226",57208,6,0,0,0
"42227",57209,4,0,0,0
"42228",57210,1,0,0,0
"42229",57211,4,2,0.5,1
"42230",57212,3,0,0,0
"42231",57214,5,0,0,0
"42232",57215,5,0,0,0
"42233",57216,3,0,0,0
"42234",57217,1,0,0,0
"42235",57220,6,0,0,0
"42236",57222,2,1,0.5,1
"42237",57223,6,0,0,0
"42238",57224,2,0,0,0
"42239",57227,2,1,0.5,1
"42240",57228,6,0,0,0
"42241",57229,2,0,0,0
"42242",57232,3,1,0.333333333333333,1
"42243",57234,2,1,0.5,1
"42244",57235,3,0,0,0
"42245",57236,2,0,0,0
"42246",57237,2,1,0.5,1
"42247",57239,6,3,0.5,1
"42248",57240,5,0,0,0
"42249",57241,2,0,0,0
"42250",57243,2,0,0,0
"42251",57244,6,0,0,0
"42252",57245,2,0,0,0
"42253",57246,5,0,0,0
"42254",57247,6,0,0,0
"42255",57248,1,0,0,0
"42256",57249,1,0,0,0
"42257",57250,5,0,0,0
"42258",57251,5,0,0,0
"42259",57252,6,0,0,0
"42260",57254,3,0,0,0
"42261",57255,2,0,0,0
"42262",57258,3,0,0,0
"42263",57259,6,2,0.333333333333333,1
"42264",57260,2,0,0,0
"42265",57261,2,0,0,0
"42266",57262,6,0,0,0
"42267",57263,5,2,0.4,1
"42268",57264,3,0,0,0
"42269",57265,3,0,0,0
"42270",57267,5,0,0,0
"42271",57268,3,1,0.333333333333333,1
"42272",57269,1,0,0,0
"42273",57271,1,0,0,0
"42274",57272,4,2,0.5,1
"42275",57273,4,0,0,0
"42276",57275,5,1,0.2,1
"42277",57276,6,3,0.5,1
"42278",57277,3,0,0,0
"42279",57279,1,0,0,0
